Gene	sgRNA	mock_day12|beta	mock_day12|z	mock_day12|p-value	mock_day12|fdr	mock_day12|wald-p-value	mock_day12|wald-fdr	myci_Day12|beta	myci_Day12|z	myci_Day12|p-value	myci_Day12|fdr	myci_Day12|wald-p-value	myci_Day12|wald-fdr	z_Difference	beta_difference
Klhl11	5	0.084926	0.47681	0.50057	0.9203	0.6335	0.89244	0.00017648	0.00099076	0.86436	0.99376	0.99921	1	-0.47581924	-0.08474952
Cd8a	5	0.32274	1.6115	0.028617	0.27684	0.10707	0.63018	0.23803	1.1885	0.12408	0.5922	0.23464	0.73432	-0.423	-0.08471
Prf1	5	0.017089	0.1096	0.77646	0.98752	0.91273	0.97601	-0.06762	-0.43362	0.89139	0.99417	0.66457	0.89022	-0.54322	-0.084709
Slc8b1	5	0.038388	0.31093	0.68917	0.9751	0.75586	0.92974	-0.046306	-0.37504	0.9626	0.99816	0.70763	0.90483	-0.68597	-0.084694
BC117090	2	0.34865	1.3402	0.13286	0.58866	0.18017	0.72824	0.26396	1.0147	0.28375	0.80728	0.31026	0.75445	-0.3255	-0.08469
Mbtps1	5	-0.67696	-2.4938	0.082306	0.47771	0.012637	0.13718	-0.76158	-2.8054	0.054151	0.39461	0.0050255	0.061353	-0.3116	-0.08462
Gnat3	5	0.32972	1.8078	0.025432	0.2586	0.07063	0.50673	0.24511	1.3439	0.11421	0.56912	0.17897	0.71398	-0.4639	-0.08461
Snca	5	0.019069	0.09727	0.76783	0.98601	0.92251	0.97932	-0.065524	-0.3342	0.89843	0.99417	0.73823	0.9145	-0.43147	-0.084593
Pbsn	5	0.30215	1.7275	0.039663	0.33362	0.084083	0.5624	0.21756	1.2438	0.15598	0.6481	0.21357	0.72877	-0.4837	-0.08459
Wnt3	5	0.14721	0.67269	0.29619	0.808	0.50115	0.84819	0.06263	0.28619	0.62094	0.96735	0.77473	0.92912	-0.3865	-0.08458
Got1	5	0.2413	1.4194	0.094688	0.50799	0.15579	0.70777	0.15673	0.92189	0.29999	0.82488	0.35659	0.76778	-0.49751	-0.08457
Sbspon	5	0.096131	0.6849	0.46044	0.90505	0.49341	0.8465	0.011589	0.082565	0.82198	0.99168	0.9342	0.9814	-0.602335	-0.084542
Vmn1r75	5	0.043733	0.40066	0.66636	0.97104	0.68867	0.909	-0.040806	-0.37384	0.98048	0.9989	0.70852	0.9055	-0.7745	-0.084539
Bex4	4	-0.41166	-2.0838	0.28971	0.80325	0.037174	0.3244	-0.49619	-2.5117	0.22097	0.73774	0.012014	0.12681	-0.4279	-0.08453
Mrpl24	5	-1.115	-3.3619	0.0097102	0.13938	0.00077396	0.014249	-1.1995	-3.6161	0.0068845	0.11038	0.00029902	0.0063748	-0.2542	-0.0845
Atp11a	5	0.15651	1.0918	0.26901	0.78642	0.27491	0.77275	0.072011	0.50233	0.58354	0.96189	0.61543	0.87284	-0.58947	-0.084499
Usp9x	5	-0.13944	-0.62766	0.69282	0.97661	0.53023	0.85613	-0.22392	-1.0077	0.50673	0.93586	0.31359	0.75486	-0.38004	-0.08448
Dynlrb2	5	0.15284	0.89548	0.27985	0.79635	0.37053	0.80077	0.068372	0.40059	0.59736	0.9637	0.68872	0.89791	-0.49489	-0.084468
Scube2	5	-0.0092711	-0.09506	0.87993	0.99329	0.92427	0.97963	-0.093709	-0.96081	0.8096	0.99168	0.33665	0.76101	-0.86575	-0.0844379
Olfr1261	3	-0.0094768	-0.10064	0.96419	0.99926	0.91984	0.97867	-0.093896	-0.9971	0.75663	0.98712	0.31872	0.75703	-0.89646	-0.0844192
Cyp4a32	5	0.3717	1.4119	0.011919	0.16011	0.15797	0.71075	0.28729	1.0913	0.067304	0.43886	0.27515	0.74592	-0.3206	-0.08441
Rpl10	5	-2.359	-5.0502	0	0	4.41E-07	5.92E-05	-2.4434	-5.2295	0	0	1.70E-07	3.92E-05	-0.1793	-0.0844
Tsen54	5	-2.6286	-5.1074	0	0	3.27E-07	4.89E-05	-2.713	-5.2661	0	0	1.39E-07	3.77E-05	-0.1587	-0.0844
Olfr368	5	-0.15613	-0.74448	0.65331	0.96575	0.45659	0.83252	-0.24052	-1.1468	0.47873	0.92759	0.25147	0.7431	-0.40232	-0.08439
Vmn2r110	5	0.35093	1.9149	0.017879	0.21104	0.055506	0.43036	0.26655	1.4544	0.089088	0.50895	0.14583	0.68904	-0.4605	-0.08438
Matn4	5	-0.070397	-0.46176	0.8974	0.99601	0.64425	0.89633	-0.15468	-1.0146	0.64576	0.97268	0.3103	0.75445	-0.55284	-0.084283
Olfr1100	5	0.089653	0.38812	0.48433	0.91622	0.69793	0.91107	0.0053924	0.023343	0.84494	0.9933	0.98138	0.99529	-0.364777	-0.0842606
Rcor1	5	0.16954	0.94381	0.23248	0.74145	0.34526	0.79314	0.085287	0.47474	0.53288	0.94445	0.63497	0.87934	-0.46907	-0.084253
Olfr175-ps1	1	0.3981	0.94217	0.21917	0.72622	0.34611	0.79354	0.31387	0.74283	0.35286	0.8651	0.45759	0.80696	-0.19934	-0.08423
Fndc5	5	0.16413	1.2312	0.24723	0.75963	0.21825	0.7492	0.079912	0.59943	0.55379	0.95187	0.54889	0.84625	-0.63177	-0.084218
Mdm1	5	0.074093	0.56709	0.54233	0.93491	0.57065	0.86843	-0.010102	-0.077321	0.90244	0.99417	0.93837	0.98246	-0.644411	-0.084195
Col26a1	5	-0.047248	-0.19775	0.98017	0.99969	0.84324	0.95486	-0.13142	-0.54997	0.70284	0.97931	0.58234	0.85854	-0.35222	-0.084172
Gm29106	1	-0.1329	-0.37279	0.65362	0.96585	0.7093	0.91345	-0.21702	-0.60877	0.50324	0.93473	0.54268	0.84457	-0.23598	-0.08412
Abhd2	5	0.0571	0.7088	0.61164	0.95845	0.47845	0.84048	-0.027006	-0.33523	0.96928	0.99816	0.73745	0.91442	-1.04403	-0.084106
Klf12	5	0.22906	1.4289	0.11282	0.55337	0.15303	0.7044	0.14497	0.90433	0.33534	0.85443	0.36582	0.77135	-0.52457	-0.08409
Cldn12	5	0.12534	0.48187	0.36087	0.85342	0.6299	0.8912	0.041306	0.15877	0.70289	0.97931	0.87385	0.96236	-0.3231	-0.084034
Olfr959	5	0.016069	0.1515	0.78113	0.98858	0.87958	0.967	-0.067964	-0.64074	0.89031	0.99417	0.52169	0.83446	-0.79224	-0.084033
Ddx4	5	0.24091	1.4813	0.095099	0.50908	0.13852	0.6815	0.15688	0.96461	0.29953	0.82454	0.33474	0.7605	-0.51669	-0.08403
Fam89a	5	0.27537	1.0619	0.057491	0.39936	0.28826	0.77925	0.19137	0.73801	0.20715	0.71961	0.46051	0.80821	-0.32389	-0.084
Fkbp5	5	0.30027	1.6525	0.040382	0.33748	0.09844	0.60813	0.21631	1.1904	0.15829	0.65303	0.2339	0.73404	-0.4621	-0.08396
Pgk1	5	-1.6633	-4.3992	0.00056515	0.020333	1.09E-05	0.00053408	-1.7472	-4.6199	0.00041102	0.016981	3.84E-06	0.0002717	-0.2207	-0.0839
Ptgis	5	0.19685	0.87478	0.16949	0.65411	0.38169	0.80346	0.11298	0.50206	0.43737	0.9138	0.61562	0.8729	-0.37272	-0.08387
Hgh1	5	-0.0039336	-0.026896	0.85774	0.99152	0.97854	0.99443	-0.087802	-0.60033	0.82691	0.99168	0.54829	0.8461	-0.573434	-0.0838684
Ubxn2b	5	0.034635	0.15976	0.70397	0.97702	0.87307	0.96439	-0.04923	-0.22708	0.95345	0.99747	0.82036	0.94516	-0.38684	-0.083865
Pnoc	5	0.050559	0.48078	0.63702	0.96388	0.63067	0.89165	-0.033302	-0.31668	0.99193	0.99974	0.75149	0.92022	-0.79746	-0.083861
Mrgpra1	5	0.24628	1.2002	0.088625	0.49469	0.23005	0.75662	0.16242	0.79152	0.28417	0.80768	0.42864	0.79461	-0.40868	-0.08386
Spata17	5	0.15499	0.83425	0.27307	0.78891	0.40414	0.81168	0.071136	0.38289	0.58672	0.96243	0.7018	0.90255	-0.45136	-0.083854
Gstm1	5	0.21459	0.96533	0.13507	0.59243	0.33438	0.78808	0.13074	0.5881	0.37998	0.88395	0.55647	0.84867	-0.37723	-0.08385
Wasf2	5	-0.049126	-0.3816	0.9739	0.99926	0.70276	0.91202	-0.13297	-1.0329	0.69919	0.97931	0.30167	0.7521	-0.6513	-0.083844
Slc35g3	5	0.2181	0.87326	0.12978	0.58109	0.38252	0.80346	0.13428	0.53763	0.36776	0.87389	0.59083	0.86228	-0.33563	-0.08382
Mybpc3	5	-0.094188	-0.77804	0.82393	0.99117	0.43654	0.82378	-0.17799	-1.4702	0.59669	0.96358	0.1415	0.68386	-0.69216	-0.083802
Slc6a14	5	0.0024011	0.016058	0.83472	0.99117	0.98719	0.99721	-0.081383	-0.54427	0.84726	0.99376	0.58625	0.86055	-0.560328	-0.0837841
Dnase1l3	5	0.041149	0.39143	0.67756	0.97447	0.69548	0.91094	-0.042601	-0.40524	0.97441	0.99816	0.6853	0.89714	-0.79667	-0.08375
Nfe2	5	0.17132	1.1179	0.22801	0.73623	0.26362	0.76768	0.087572	0.5714	0.52471	0.94217	0.56773	0.85204	-0.5465	-0.083748
Ubd	5	0.36614	1.8442	0.013409	0.17458	0.065159	0.48073	0.28241	1.4224	0.072287	0.45756	0.1549	0.69811	-0.4218	-0.08373
Psmd2	5	0.088223	0.41136	0.48921	0.91663	0.68081	0.90711	0.0044972	0.020969	0.8489	0.99376	0.98327	0.99545	-0.390391	-0.0837258
Mks1	5	-0.030331	-0.18929	0.96167	0.99926	0.84987	0.95705	-0.11404	-0.71169	0.7517	0.98605	0.47666	0.81608	-0.5224	-0.083709
Ccdc108	5	0.2527	1.1536	0.080816	0.47422	0.24866	0.76332	0.169	0.77149	0.26546	0.78792	0.44042	0.79876	-0.38211	-0.0837
Galk1	5	-0.072937	-0.52931	0.88769	0.99465	0.59659	0.87873	-0.15663	-1.1366	0.64098	0.97135	0.2557	0.7431	-0.60729	-0.083693
Cst3	5	0.19045	1.1645	0.183	0.67743	0.24424	0.76233	0.10679	0.65291	0.4591	0.92461	0.51382	0.83093	-0.51159	-0.08366
Olfr393	5	-0.020833	-0.10711	0.92607	0.9984	0.9147	0.97695	-0.10448	-0.53711	0.77903	0.98769	0.59119	0.86233	-0.43	-0.083647
Serpina3j	5	0.26077	1.6324	0.07239	0.44858	0.1026	0.62018	0.17713	1.1088	0.24317	0.76515	0.2675	0.74558	-0.5236	-0.08364
Pkn1	5	0.060382	0.51219	0.59885	0.95588	0.60852	0.88261	-0.023229	-0.19704	0.95463	0.99769	0.8438	0.95298	-0.70923	-0.083611
Casc1	5	0.0033443	0.04317	0.83056	0.99117	0.96557	0.98987	-0.08026	-1.036	0.85075	0.99376	0.30021	0.75173	-1.07917	-0.0836043
Adh6a	5	0.07252	0.71252	0.54876	0.93792	0.47614	0.83936	-0.011069	-0.10876	0.90583	0.99417	0.9134	0.97555	-0.82128	-0.083589
Bfsp2	5	0.088738	0.92687	0.48731	0.91633	0.354	0.79478	0.0052385	0.054716	0.84572	0.99376	0.95636	0.98811	-0.872154	-0.0834995
Acp2	5	0.044664	0.22937	0.66256	0.9689	0.81858	0.94873	-0.038795	-0.19922	0.98793	0.99974	0.84209	0.95244	-0.42859	-0.083459
Lrrc26	5	-0.10642	-0.5275	0.7855	0.98889	0.59784	0.8788	-0.18986	-0.94108	0.5729	0.95914	0.34666	0.76356	-0.41358	-0.08344
Clrn3	5	-0.047792	-0.21446	0.97842	0.99942	0.83019	0.95169	-0.13119	-0.58865	0.70361	0.97931	0.5561	0.84867	-0.37419	-0.083398
1700074P13Rik	5	-0.57364	-2.3474	0.13476	0.59237	0.018905	0.18909	-0.65698	-2.6881	0.090269	0.51165	0.007185	0.082996	-0.3407	-0.08334
Mgat4e	5	0.085986	0.86927	0.49661	0.91856	0.3847	0.80393	0.0026553	0.026844	0.85645	0.99376	0.97858	0.99458	-0.842426	-0.0833307
Npnt	5	0.17202	0.8584	0.22652	0.73496	0.39067	0.80711	0.088748	0.44286	0.52055	0.94199	0.65787	0.88744	-0.41554	-0.083272
Cby1	5	-0.053186	-0.30489	0.96039	0.99926	0.76045	0.93135	-0.13644	-0.78212	0.69179	0.97931	0.43414	0.79621	-0.47723	-0.083254
Trim23	5	-0.0032535	-0.018641	0.85491	0.99148	0.98513	0.99627	-0.086469	-0.49538	0.83138	0.99168	0.62033	0.87431	-0.476739	-0.0832155
Bpifb1	5	0.28505	1.0273	0.050349	0.37534	0.30426	0.78336	0.20184	0.72739	0.1865	0.69812	0.46698	0.81162	-0.29991	-0.08321
Dcst1	5	-0.0072446	-0.045321	0.87223	0.99329	0.96385	0.98963	-0.090426	-0.56565	0.81885	0.99168	0.57163	0.8533	-0.520329	-0.0831814
Slc16a6	5	0.2548	1.5554	0.078812	0.46969	0.11984	0.65401	0.17164	1.0477	0.25837	0.78237	0.29478	0.74908	-0.5077	-0.08316
Myo1c	5	-0.41372	-2.1171	0.26212	0.77912	0.034249	0.30565	-0.49687	-2.5423	0.1848	0.69494	0.011012	0.1179	-0.4252	-0.08315
Xpnpep1	5	0.3959	1.3471	0.0079634	0.121	0.17795	0.72625	0.31276	1.0642	0.049425	0.37889	0.28724	0.74832	-0.2829	-0.08314
Adamts7	5	0.1514	0.93438	0.28355	0.79807	0.35011	0.79386	0.068294	0.42149	0.59767	0.96387	0.6734	0.89345	-0.51289	-0.083106
Hhat	5	0.12222	0.63445	0.37094	0.85901	0.52579	0.85442	0.039145	0.2032	0.71023	0.97994	0.83898	0.95145	-0.43125	-0.083075
Pigu	5	-0.065064	-0.45666	0.91708	0.99771	0.64792	0.89667	-0.14811	-1.0394	0.66184	0.97563	0.29861	0.75095	-0.58274	-0.083046
Mfsd1	5	0.19045	1.1871	0.18306	0.67743	0.23518	0.75893	0.10741	0.6695	0.4571	0.92436	0.50318	0.82607	-0.5176	-0.08304
Zcchc17	5	-0.051104	-0.41369	0.96768	0.99926	0.6791	0.90654	-0.13413	-1.0857	0.69693	0.97931	0.27759	0.74728	-0.67201	-0.083026
Pigf	5	-0.078347	-0.73467	0.87058	0.99329	0.46254	0.83505	-0.16136	-1.513	0.63065	0.96907	0.13028	0.67189	-0.77833	-0.083013
Bmp6	5	-0.16347	-0.81779	0.63471	0.96388	0.41348	0.81564	-0.24648	-1.2331	0.47041	0.92606	0.21755	0.72877	-0.41531	-0.08301
Slc52a2	5	-0.19248	-1.3774	0.57629	0.94709	0.16838	0.7205	-0.27547	-1.9712	0.42422	0.90926	0.0487	0.39861	-0.5938	-0.08299
Inip	5	-0.34755	-1.911	0.33395	0.84164	0.056006	0.43275	-0.43054	-2.3673	0.24044	0.76197	0.01792	0.17809	-0.4563	-0.08299
Clec2i	5	0.11711	1.1411	0.38666	0.86575	0.25384	0.76406	0.034148	0.33273	0.73089	0.98337	0.73933	0.9149	-0.80837	-0.082962
Spats2	5	-0.018113	-0.16147	0.91497	0.99771	0.87172	0.96411	-0.10106	-0.90088	0.78925	0.98931	0.36765	0.77235	-0.73941	-0.082947
Prdx5	5	-0.0066396	-0.045459	0.86935	0.99329	0.96374	0.98957	-0.089576	-0.61327	0.82147	0.99168	0.5397	0.84389	-0.567811	-0.0829364
Dhx8	5	-0.45754	-2.129	0.22272	0.73034	0.033251	0.29893	-0.54046	-2.5147	0.1529	0.64278	0.011913	0.12595	-0.3857	-0.08292
Pcna	5	-2.9288	-6.1399	0	0	8.26E-10	1.46E-06	-3.0117	-6.314	0	0	2.72E-10	6.61E-07	-0.1741	-0.0829
Dennd6b	5	0.10197	0.74429	0.43922	0.89269	0.4567	0.83252	0.019078	0.13926	0.79074	0.98934	0.88925	0.96651	-0.60503	-0.082892
Muc20	5	0.19889	1.5815	0.16538	0.64834	0.11375	0.64271	0.11602	0.92249	0.42715	0.9106	0.35627	0.76771	-0.65901	-0.08287
Vmn2r113	5	0.23464	1.3271	0.10368	0.53133	0.18448	0.72824	0.15182	0.85864	0.31489	0.83611	0.39054	0.78304	-0.46846	-0.08282
Prkrir	5	-1.5236	-3.716	0.00097616	0.027066	0.00020238	0.0048104	-1.6064	-3.9163	0.00077065	0.025997	8.99E-05	0.0025772	-0.2003	-0.0828
Fam151b	5	0.22497	1.3782	0.11894	0.56353	0.16813	0.7205	0.14218	0.87103	0.34428	0.86002	0.38374	0.77988	-0.50717	-0.08279
Sirpb1a	1	0.24716	0.6505	0.46342	0.90626	0.51537	0.85088	0.16437	0.43262	0.64761	0.97343	0.66529	0.89022	-0.21788	-0.08279
Gna12	5	-0.08312	-0.51256	0.85589	0.99152	0.60826	0.88246	-0.16589	-1.023	0.62002	0.96691	0.30633	0.75394	-0.51044	-0.08277
Pomgnt1	5	0.04839	0.22853	0.64576	0.96443	0.81923	0.94877	-0.034367	-0.16228	0.99574	0.99974	0.87108	0.96121	-0.39081	-0.082757
Crhr1	5	0.024083	0.087493	0.74651	0.98236	0.93028	0.98162	-0.058641	-0.213	0.92129	0.99429	0.83133	0.94904	-0.300493	-0.082724
Ndnf	5	-0.013756	-0.093482	0.89714	0.99601	0.92552	0.97976	-0.096472	-0.65558	0.80163	0.99168	0.5121	0.82979	-0.562098	-0.082716
Dido1	5	-0.52001	-2.2401	0.17042	0.65618	0.025081	0.23675	-0.60271	-2.5963	0.1174	0.57657	0.0094241	0.10336	-0.3562	-0.0827
Adamts12	5	-0.027451	-0.19051	0.95088	0.99926	0.84891	0.95678	-0.11012	-0.76423	0.76269	0.98712	0.44473	0.8012	-0.57372	-0.082669
Mcl1	5	0.18623	0.7874	0.19354	0.69682	0.43105	0.82263	0.10362	0.43813	0.46928	0.92606	0.66129	0.88946	-0.34927	-0.08261
Pla2r1	5	-0.12347	-1.0851	0.73592	0.98002	0.27786	0.7738	-0.20607	-1.811	0.53822	0.94753	0.070141	0.50922	-0.7259	-0.0826
Mybpc2	5	0.097465	0.75827	0.45587	0.90292	0.44829	0.82886	0.0149	0.11592	0.8078	0.99168	0.90772	0.97388	-0.64235	-0.082565
4931406C07Rik	5	0.087953	0.66028	0.49008	0.91681	0.50908	0.85028	0.0053959	0.040507	0.84494	0.9933	0.96769	0.99172	-0.619773	-0.0825571
Gm8888	1	0.10382	0.29555	0.79937	0.99117	0.76758	0.93399	0.021279	0.060577	0.9943	0.99974	0.9517	0.98687	-0.234973	-0.082541
Smad3	5	0.16669	0.96936	0.24034	0.75241	0.33237	0.78764	0.084204	0.48965	0.53797	0.94753	0.62438	0.87545	-0.47971	-0.082486
Cyp2j6	5	0.11395	0.68739	0.39827	0.87544	0.49184	0.8449	0.031474	0.18985	0.74137	0.9854	0.84943	0.9551	-0.49754	-0.082476
Nhlh1	5	0.2165	1.5214	0.1323	0.58692	0.12817	0.66906	0.13404	0.94189	0.36863	0.87463	0.34625	0.76356	-0.57951	-0.08246
Med12l	5	-0.018148	-0.092908	0.91523	0.99771	0.92598	0.98	-0.1006	-0.515	0.79084	0.98934	0.60655	0.86981	-0.422092	-0.082452
Olfr869	5	0.12933	0.79616	0.3489	0.8457	0.42594	0.82049	0.046959	0.28908	0.68295	0.97931	0.77252	0.92843	-0.50708	-0.082371
G3bp1	5	-0.34032	-1.804	0.34274	0.84481	0.071234	0.509	-0.42268	-2.2405	0.24779	0.7702	0.025057	0.23572	-0.4365	-0.08236
Zfp408	5	0.089812	0.60589	0.48387	0.91622	0.54459	0.86078	0.0074522	0.050272	0.83606	0.99168	0.95991	0.98871	-0.555618	-0.0823598
Cyp2d26	5	0.26416	1.4065	0.068948	0.4403	0.15959	0.71189	0.18183	0.96808	0.23109	0.75167	0.33301	0.76046	-0.43842	-0.08233
Popdc3	5	0.22397	0.82398	0.12079	0.56687	0.40995	0.81461	0.14165	0.52108	0.34566	0.86094	0.60231	0.86769	-0.3029	-0.08232
Tlr5	5	0.0016916	0.014518	0.83775	0.99117	0.98842	0.99738	-0.080556	-0.69138	0.84993	0.99376	0.48933	0.8209	-0.705898	-0.0822476
Nrxn3	5	0.14686	0.9457	0.29675	0.808	0.3443	0.79266	0.064619	0.41611	0.61318	0.96568	0.67733	0.89495	-0.52959	-0.082241
Gmfb	5	0.25406	1.5142	0.079326	0.47016	0.12999	0.66915	0.17182	1.024	0.25776	0.78174	0.30583	0.75394	-0.4902	-0.08224
Stk31	5	0.046103	0.30298	0.65639	0.96636	0.76191	0.9319	-0.036129	-0.23743	0.99846	0.99974	0.81232	0.94218	-0.54041	-0.082232
Slc8a3	5	-0.10555	-0.81337	0.78848	0.98892	0.41601	0.81689	-0.18773	-1.4466	0.57753	0.95922	0.14802	0.68966	-0.63323	-0.08218
Eva1c	5	0.16264	1.1077	0.25134	0.76641	0.268	0.77138	0.080512	0.54833	0.55153	0.9516	0.58346	0.85898	-0.55937	-0.082128
Eef1g	5	-0.97864	-3.2762	0.019472	0.22209	0.0010523	0.018008	-1.0607	-3.5505	0.013101	0.16944	0.00038452	0.0077639	-0.2743	-0.08206
Olfr1093	5	0.22064	1.008	0.12562	0.57367	0.31347	0.7836	0.13859	0.63313	0.35424	0.8661	0.52665	0.83679	-0.37487	-0.08205
Fscn2	5	-0.085974	-0.50173	0.84643	0.99117	0.61585	0.88472	-0.16798	-0.98027	0.6155	0.96628	0.32695	0.75948	-0.47854	-0.082006
Socs4	5	-0.11487	-0.77585	0.75976	0.98436	0.43784	0.82451	-0.19687	-1.3297	0.55795	0.95187	0.18363	0.71706	-0.55385	-0.082
Pinlyp	5	0.17773	0.71328	0.21208	0.71605	0.47567	0.83932	0.095762	0.38427	0.49548	0.93262	0.70078	0.90236	-0.32901	-0.081968
Fam81b	3	-0.36264	-1.4227	0.34613	0.8454	0.15483	0.70617	-0.4446	-1.7442	0.2818	0.8053	0.081119	0.55204	-0.3215	-0.08196
Ddx18	5	-1.7572	-4.3572	0.00041102	0.016393	1.32E-05	0.00061949	-1.8391	-4.5588	0.00010275	0.0053476	5.14E-06	0.00033937	-0.2016	-0.0819
Yipf7	5	0.28457	1.2467	0.050555	0.37572	0.21249	0.74494	0.20269	0.88801	0.18434	0.69479	0.37454	0.77448	-0.35869	-0.08188
Txn2	5	-0.77006	-2.7957	0.051839	0.37958	0.005178	0.065487	-0.85192	-3.0927	0.03509	0.3162	0.0019837	0.028879	-0.297	-0.08186
Tbc1d8	5	0.13367	0.78957	0.33534	0.84189	0.42978	0.82221	0.051821	0.30609	0.66338	0.97633	0.75953	0.92322	-0.48348	-0.081849
C330018D20Rik	5	0.12607	0.48842	0.35861	0.85254	0.62525	0.88931	0.044254	0.17142	0.69241	0.97931	0.86389	0.95942	-0.317	-0.081816
Ctsr	5	0.1651	0.85741	0.24481	0.75659	0.39122	0.80713	0.083289	0.43254	0.54126	0.94844	0.66535	0.89022	-0.42487	-0.081811
Echs1	5	0.078521	0.71056	0.52528	0.92945	0.47735	0.8399	-0.0032763	-0.029648	0.87721	0.99377	0.97635	0.99374	-0.740208	-0.0817973
Olfr1346	5	-0.10863	-0.94501	0.77862	0.98807	0.34465	0.79266	-0.19042	-1.6565	0.57188	0.95888	0.09763	0.60365	-0.71149	-0.08179
Ang6	3	0.23579	1.3981	0.20674	0.70808	0.1621	0.71559	0.154	0.91309	0.43074	0.91249	0.36119	0.76885	-0.48501	-0.08179
Nkg7	5	0.024844	0.11976	0.74312	0.98168	0.90467	0.97362	-0.056866	-0.27413	0.92787	0.99581	0.78398	0.93215	-0.39389	-0.08171
Hypm	5	0.23291	1.6157	0.10625	0.53672	0.10615	0.62909	0.15123	1.0491	0.31643	0.83611	0.29413	0.74908	-0.5666	-0.08168
Rbm41	5	0.077051	0.5404	0.53088	0.93104	0.58892	0.8757	-0.0046209	-0.032407	0.88307	0.99417	0.97415	0.99314	-0.572807	-0.0816719
Zfp326	5	0.14222	1.0225	0.31057	0.82116	0.30655	0.78346	0.060564	0.43542	0.62834	0.96841	0.66326	0.88993	-0.58708	-0.081656
Mok	5	0.33079	1.49	0.025072	0.25671	0.13622	0.6786	0.24917	1.1224	0.10907	0.55765	0.26171	0.74403	-0.3676	-0.08162
Klhdc7b	5	-0.28471	-2.0012	0.41569	0.88407	0.045373	0.37374	-0.36632	-2.5748	0.3059	0.82879	0.010031	0.10835	-0.5736	-0.08161
Wdr43	5	-1.4398	-3.1522	0.0020037	0.047677	0.0016206	0.025521	-1.5214	-3.3289	0.0011817	0.034328	0.00087177	0.014871	-0.1767	-0.0816
Cd300ld	5	-0.090332	-0.70717	0.83446	0.99117	0.47946	0.84056	-0.17191	-1.3458	0.60784	0.96568	0.17837	0.7132	-0.63863	-0.081578
Olfr38	5	-0.047522	-0.34025	0.97935	0.99958	0.73367	0.92273	-0.12909	-0.92425	0.70941	0.97994	0.35536	0.76715	-0.584	-0.081568
Gm5422	4	0.21466	0.9057	0.18095	0.67175	0.3651	0.80037	0.1331	0.56155	0.42843	0.91068	0.57442	0.85476	-0.34415	-0.08156
Mill1	5	0.1541	1.4332	0.27538	0.79056	0.15181	0.70264	0.072569	0.67488	0.58102	0.96059	0.49975	0.82565	-0.75832	-0.081531
Ang4	4	0.047991	0.80334	0.70335	0.97702	0.42178	0.81817	-0.033539	-0.56141	0.97328	0.99816	0.57452	0.85476	-1.36475	-0.08153
Tob2	5	-0.052293	-0.50919	0.96357	0.99926	0.61062	0.88331	-0.13382	-1.303	0.69734	0.97931	0.19259	0.72543	-0.79381	-0.081527
Xkr9	5	0.042604	0.29134	0.67078	0.97215	0.77079	0.93441	-0.038879	-0.26586	0.98767	0.99974	0.79035	0.93482	-0.5572	-0.081483
Slc29a3	5	0.054586	0.58697	0.62084	0.95923	0.55722	0.86392	-0.026884	-0.28908	0.96902	0.99816	0.77252	0.92843	-0.87605	-0.08147
Ppp3cb	5	0.14703	1.5088	0.29644	0.808	0.13135	0.66953	0.06556	0.67276	0.60938	0.96568	0.5011	0.82572	-0.83604	-0.08147
Xrcc3	5	-0.58011	-2.7731	0.13117	0.58434	0.0055517	0.069003	-0.66154	-3.162	0.088677	0.5081	0.0015668	0.023841	-0.3889	-0.08143
Pam	5	0.12665	1.0329	0.3564	0.85077	0.30167	0.78248	0.045237	0.36892	0.68927	0.97931	0.71219	0.9059	-0.66398	-0.081413
Ick	5	-0.0033466	-0.019862	0.85537	0.99152	0.98415	0.99577	-0.084716	-0.50277	0.83667	0.99168	0.61513	0.87284	-0.482908	-0.0813694
Ifnar2	5	0.15778	1.6659	0.26485	0.78201	0.095735	0.60053	0.076419	0.80683	0.56664	0.95624	0.41977	0.79086	-0.85907	-0.081361
1700019A02Rik	5	0.30974	1.4481	0.035296	0.31284	0.14758	0.69569	0.2284	1.0678	0.13897	0.61832	0.28559	0.74775	-0.3803	-0.08134
Ptpn2	5	0.10649	0.49986	0.42504	0.8897	0.61717	0.88515	0.025157	0.11808	0.76613	0.98712	0.906	0.97279	-0.38178	-0.081333
Slc9a4	5	0.12428	1.0001	0.36436	0.85673	0.31725	0.78516	0.042992	0.34596	0.69708	0.97931	0.72937	0.91118	-0.65414	-0.081288
Cdkn2aipnl	5	-0.10131	-0.8268	0.80194	0.99117	0.40835	0.81421	-0.18257	-1.49	0.58811	0.96243	0.13623	0.67993	-0.6632	-0.08126
Rnf170	5	0.19662	2.0774	0.1699	0.65498	0.037765	0.32786	0.11539	1.2192	0.42884	0.91128	0.22277	0.72932	-0.8582	-0.08123
Fam189b	5	0.20064	1.0087	0.16209	0.64335	0.31312	0.7836	0.11943	0.60041	0.41548	0.90408	0.54823	0.8461	-0.40829	-0.08121
Ctxn2	5	0.19906	1.2206	0.16523	0.64834	0.22224	0.75354	0.11785	0.72263	0.42011	0.90574	0.46991	0.81245	-0.49797	-0.08121
Atp13a5	5	0.090469	0.7525	0.48161	0.91579	0.45175	0.83112	0.0092685	0.077094	0.82958	0.99168	0.93855	0.98246	-0.675406	-0.0812005
